scheme,pattern,support_1,support_2,support_3,event_index,event_weight,gram_determinant,min_eigenvalue,max_pair_correlation
GPS-offset,1-2-1,"(0,0)","(1,0)","(2,0)",100,2,1.38777878078145e-15,4.44089209850063e-16,0.5
GPS-offset,1-2-1,"(0,0)","(1,0)","(2,0)",101,2,1.38777878078145e-15,4.44089209850063e-16,0.5
GPS-offset,1-2-1,"(0,1)","(1,1)","(2,1)",72,2,7.7715611723761e-16,2.22044604925031e-16,0.5
GPS-offset,1-2-1,"(0,1)","(1,1)","(2,1)",73,2,7.7715611723761e-16,2.22044604925031e-16,0.5
GPS-offset,1-2-1,"(0,1)","(1,1)","(2,1)",100,2,1.27675647831893e-15,6.66133814775094e-16,0.5
GPS-offset,1-2-1,"(0,1)","(1,1)","(2,1)",101,2,1.27675647831893e-15,6.66133814775094e-16,0.5
GPS-offset,2-2-1,"(0,-1)","(1,-1)","(2,-1)",60,2,1.22124532708767e-15,6.66133814775094e-16,0.5
GPS-offset,2-2-1,"(0,-1)","(1,-1)","(2,-1)",61,2,1.22124532708767e-15,6.66133814775094e-16,0.5
GPS-offset,2-2-1,"(0,-1)","(1,-1)","(2,-1)",88,2,9.43689570931383e-16,8.88178419700125e-16,0.5
GPS-offset,2-2-1,"(0,-1)","(1,-1)","(2,-1)",89,2,9.43689570931383e-16,8.88178419700125e-16,0.5
GPS-offset,2-2-1,"(0,0)","(1,0)","(2,0)",60,2,1.66533453693773e-15,7.77156117237609e-16,0.5
GPS-offset,2-2-1,"(0,0)","(1,0)","(2,0)",61,2,1.66533453693773e-15,7.77156117237609e-16,0.5
GPS-offset,2-2-1,"(0,0)","(1,0)","(2,0)",88,2,1.33226762955019e-15,7.77156117237609e-16,0.5
GPS-offset,2-2-1,"(0,0)","(1,0)","(2,0)",89,2,1.33226762955019e-15,7.77156117237609e-16,0.5
GPS-offset,2-2-1,"(0,1)","(1,1)","(2,1)",60,2,9.99200722162641e-16,5.55111512312578e-16,0.5
GPS-offset,2-2-1,"(0,1)","(1,1)","(2,1)",61,2,9.99200722162641e-16,5.55111512312578e-16,0.5
GPS-offset,2-2-1,"(0,1)","(1,1)","(2,1)",88,2,1.0547118733939e-15,5.55111512312576e-16,0.5
GPS-offset,2-2-1,"(0,1)","(1,1)","(2,1)",89,2,1.0547118733939e-15,5.55111512312576e-16,0.5
GPS-offset,1-1-2,"(0,-1)","(1,-1)","(2,-1)",60,2,1.99840144432528e-15,8.88178419700125e-16,0.5
GPS-offset,1-1-2,"(0,-1)","(1,-1)","(2,-1)",61,2,1.99840144432528e-15,8.88178419700125e-16,0.5
GPS-offset,1-1-2,"(0,-1)","(1,-1)","(2,-1)",88,2,1.0547118733939e-15,4.44089209850062e-16,0.5
GPS-offset,1-1-2,"(0,-1)","(1,-1)","(2,-1)",89,2,1.0547118733939e-15,4.44089209850062e-16,0.5
GPS-offset,1-1-2,"(0,0)","(1,0)","(2,0)",60,2,1.77635683940025e-15,4.44089209850062e-16,0.5
GPS-offset,1-1-2,"(0,0)","(1,0)","(2,0)",61,2,1.77635683940025e-15,4.44089209850062e-16,0.5
GPS-offset,1-1-2,"(0,0)","(1,0)","(2,0)",88,2,1.72084568816899e-15,4.44089209850063e-16,0.5
GPS-offset,1-1-2,"(0,0)","(1,0)","(2,0)",89,2,1.72084568816899e-15,4.44089209850063e-16,0.5
GPS-offset,1-1-2,"(0,1)","(1,1)","(2,1)",60,2,1.11022302462516e-15,5.55111512312576e-16,0.5
GPS-offset,1-1-2,"(0,1)","(1,1)","(2,1)",61,2,1.11022302462516e-15,5.55111512312576e-16,0.5
GPS-offset,1-1-2,"(0,1)","(1,1)","(2,1)",88,2,1.38777878078145e-15,7.77156117237607e-16,0.5
GPS-offset,1-1-2,"(0,1)","(1,1)","(2,1)",89,2,1.38777878078145e-15,7.77156117237607e-16,0.5
GPS-offset,2-1-2,"(0,-1)","(1,-1)","(2,-1)",72,2,9.99200722162641e-16,2.22044604925031e-16,0.5
GPS-offset,2-1-2,"(0,-1)","(1,-1)","(2,-1)",73,2,9.99200722162641e-16,2.22044604925031e-16,0.5
GPS-offset,2-1-2,"(0,-1)","(1,-1)","(2,-1)",100,2,7.21644966006352e-16,0,0.5
GPS-offset,2-1-2,"(0,-1)","(1,-1)","(2,-1)",101,2,7.21644966006352e-16,0,0.5
GPS-offset,2-1-2,"(0,0)","(1,0)","(2,0)",72,2,7.7715611723761e-16,4.44089209850063e-16,0.5
GPS-offset,2-1-2,"(0,0)","(1,0)","(2,0)",73,2,7.7715611723761e-16,4.44089209850063e-16,0.5
GPS-offset,2-1-2,"(0,0)","(1,0)","(2,0)",100,2,1.0547118733939e-15,2.22044604925031e-16,0.5
GPS-offset,2-1-2,"(0,0)","(1,0)","(2,0)",101,2,1.0547118733939e-15,2.22044604925031e-16,0.5
GPS-offset,2-1-2,"(0,1)","(1,1)","(2,1)",72,2,3.33066907387547e-16,4.44089209850063e-16,0.5
GPS-offset,2-1-2,"(0,1)","(1,1)","(2,1)",73,2,3.33066907387547e-16,4.44089209850063e-16,0.5
GPS-offset,2-1-2,"(0,1)","(1,1)","(2,1)",100,2,6.66133814775094e-16,2.22044604925031e-16,0.5
GPS-offset,2-1-2,"(0,1)","(1,1)","(2,1)",101,2,6.66133814775094e-16,2.22044604925031e-16,0.5
GPS-offset,1-2-2,"(0,-1)","(1,-1)","(2,-1)",112,2,1.55431223447522e-15,6.66133814775094e-16,0.5
GPS-offset,1-2-2,"(0,-1)","(1,-1)","(2,-1)",113,2,1.55431223447522e-15,6.66133814775094e-16,0.5
GPS-offset,1-2-2,"(0,-1)","(1,-1)","(2,-1)",132,2,1.27675647831893e-15,3.33066907387546e-16,0.5
GPS-offset,1-2-2,"(0,-1)","(1,-1)","(2,-1)",133,2,1.27675647831893e-15,3.33066907387546e-16,0.5
GPS-offset,1-2-2,"(0,-1)","(1,-1)","(2,-1)",148,2,1.16573417585641e-15,4.44089209850063e-16,0.5
GPS-offset,1-2-2,"(0,-1)","(1,-1)","(2,-1)",149,2,1.16573417585641e-15,4.44089209850063e-16,0.5
GPS-offset,1-2-2,"(0,0)","(1,0)","(2,0)",112,2,9.99200722162641e-16,2.2204460492503e-16,0.5
GPS-offset,1-2-2,"(0,0)","(1,0)","(2,0)",113,2,9.99200722162641e-16,2.2204460492503e-16,0.5
GPS-offset,1-2-2,"(0,0)","(1,0)","(2,0)",132,2,1.16573417585641e-15,3.33066907387545e-16,0.5
GPS-offset,1-2-2,"(0,0)","(1,0)","(2,0)",133,2,1.16573417585641e-15,3.33066907387545e-16,0.5
GPS-offset,1-2-2,"(0,0)","(1,0)","(2,0)",148,2,1.16573417585641e-15,4.44089209850063e-16,0.5
GPS-offset,1-2-2,"(0,0)","(1,0)","(2,0)",149,2,1.16573417585641e-15,4.44089209850063e-16,0.5
GPS-offset,1-2-2,"(0,1)","(1,1)","(2,1)",112,2,1.27675647831893e-15,5.55111512312577e-16,0.5
GPS-offset,1-2-2,"(0,1)","(1,1)","(2,1)",113,2,1.27675647831893e-15,5.55111512312577e-16,0.5
GPS-offset,1-2-2,"(0,1)","(1,1)","(2,1)",132,2,6.10622663543836e-16,0,0.5
GPS-offset,1-2-2,"(0,1)","(1,1)","(2,1)",133,2,6.10622663543836e-16,0,0.5
GPS-offset,1-2-2,"(0,1)","(1,1)","(2,1)",148,2,1.22124532708767e-15,4.44089209850062e-16,0.5
GPS-offset,1-2-2,"(0,1)","(1,1)","(2,1)",149,2,1.22124532708767e-15,4.44089209850062e-16,0.5
GPS-offset,2-2-2,"(0,-1)","(1,-1)","(2,-1)",60,2,1.27675647831893e-15,6.66133814775094e-16,0.5
GPS-offset,2-2-2,"(0,-1)","(1,-1)","(2,-1)",61,2,1.27675647831893e-15,6.66133814775094e-16,0.5
GPS-offset,2-2-2,"(0,-1)","(1,-1)","(2,-1)",72,2,1.0547118733939e-15,4.44089209850063e-16,0.5
GPS-offset,2-2-2,"(0,-1)","(1,-1)","(2,-1)",73,2,1.0547118733939e-15,4.44089209850063e-16,0.5
GPS-offset,2-2-2,"(0,-1)","(1,-1)","(2,-1)",88,2,9.99200722162641e-16,4.44089209850062e-16,0.5
GPS-offset,2-2-2,"(0,-1)","(1,-1)","(2,-1)",89,2,9.99200722162641e-16,4.44089209850062e-16,0.5
GPS-offset,2-2-2,"(0,-1)","(1,-1)","(2,-1)",100,2,1.0547118733939e-15,2.22044604925031e-16,0.5
GPS-offset,2-2-2,"(0,-1)","(1,-1)","(2,-1)",101,2,1.0547118733939e-15,2.22044604925031e-16,0.5
GPS-offset,2-2-2,"(0,-1)","(1,-1)","(2,-1)",112,2,1.49880108324396e-15,8.88178419700124e-16,0.5
GPS-offset,2-2-2,"(0,-1)","(1,-1)","(2,-1)",113,2,1.49880108324396e-15,8.88178419700124e-16,0.5
GPS-offset,2-2-2,"(0,-1)","(1,-1)","(2,-1)",132,2,9.99200722162641e-16,4.44089209850063e-16,0.5
GPS-offset,2-2-2,"(0,-1)","(1,-1)","(2,-1)",133,2,9.99200722162641e-16,4.44089209850063e-16,0.5
GPS-offset,2-2-2,"(0,-1)","(1,-1)","(2,-1)",148,2,1.16573417585641e-15,4.44089209850063e-16,0.5
GPS-offset,2-2-2,"(0,-1)","(1,-1)","(2,-1)",149,2,1.16573417585641e-15,4.44089209850063e-16,0.5
GPS-offset,2-2-2,"(0,-1)","(0,0)","(0,1)",11256,6,-5.55111512312578e-17,0,0.5
GPS-offset,2-2-2,"(0,-1)","(0,0)","(0,1)",11277,6,-5.55111512312578e-17,0,0.5
GPS-offset,2-2-2,"(1,-1)","(1,0)","(1,1)",11256,6,6.10622663543836e-16,0,0.5
GPS-offset,2-2-2,"(1,-1)","(1,0)","(1,1)",11277,6,6.10622663543836e-16,0,0.5
GPS-offset,2-2-2,"(2,-1)","(2,0)","(2,1)",11256,6,6.66133814775094e-16,4.44089209850062e-16,0.5
GPS-offset,2-2-2,"(2,-1)","(2,0)","(2,1)",11277,6,6.66133814775094e-16,4.44089209850062e-16,0.5
GPS-offset,2-2-2,"(0,0)","(1,0)","(2,0)",60,2,1.4432899320127e-15,6.66133814775094e-16,0.5
GPS-offset,2-2-2,"(0,0)","(1,0)","(2,0)",61,2,1.4432899320127e-15,6.66133814775094e-16,0.5
GPS-offset,2-2-2,"(0,0)","(1,0)","(2,0)",72,2,8.32667268468867e-16,4.4408920985006e-16,0.5
GPS-offset,2-2-2,"(0,0)","(1,0)","(2,0)",73,2,8.32667268468867e-16,4.4408920985006e-16,0.5
GPS-offset,2-2-2,"(0,0)","(1,0)","(2,0)",88,2,1.27675647831893e-15,7.77156117237609e-16,0.5
GPS-offset,2-2-2,"(0,0)","(1,0)","(2,0)",89,2,1.27675647831893e-15,7.77156117237609e-16,0.5
GPS-offset,2-2-2,"(0,0)","(1,0)","(2,0)",100,2,1.16573417585641e-15,2.22044604925031e-16,0.5
GPS-offset,2-2-2,"(0,0)","(1,0)","(2,0)",101,2,1.16573417585641e-15,2.22044604925031e-16,0.5
GPS-offset,2-2-2,"(0,0)","(1,0)","(2,0)",112,2,9.99200722162641e-16,2.2204460492503e-16,0.5
GPS-offset,2-2-2,"(0,0)","(1,0)","(2,0)",113,2,9.99200722162641e-16,2.2204460492503e-16,0.5
GPS-offset,2-2-2,"(0,0)","(1,0)","(2,0)",132,2,1.16573417585641e-15,5.55111512312578e-16,0.5
GPS-offset,2-2-2,"(0,0)","(1,0)","(2,0)",133,2,1.16573417585641e-15,5.55111512312578e-16,0.5
GPS-offset,2-2-2,"(0,0)","(1,0)","(2,0)",148,2,1.27675647831893e-15,3.33066907387546e-16,0.5
GPS-offset,2-2-2,"(0,0)","(1,0)","(2,0)",149,2,1.27675647831893e-15,3.33066907387546e-16,0.5
GPS-offset,2-2-2,"(0,1)","(1,1)","(2,1)",60,2,9.99200722162641e-16,5.55111512312578e-16,0.5
GPS-offset,2-2-2,"(0,1)","(1,1)","(2,1)",61,2,9.99200722162641e-16,5.55111512312578e-16,0.5
GPS-offset,2-2-2,"(0,1)","(1,1)","(2,1)",72,2,3.88578058618805e-16,0,0.5
GPS-offset,2-2-2,"(0,1)","(1,1)","(2,1)",73,2,3.88578058618805e-16,0,0.5
GPS-offset,2-2-2,"(0,1)","(1,1)","(2,1)",88,2,9.99200722162641e-16,4.44089209850063e-16,0.5
GPS-offset,2-2-2,"(0,1)","(1,1)","(2,1)",89,2,9.99200722162641e-16,4.44089209850063e-16,0.5
GPS-offset,2-2-2,"(0,1)","(1,1)","(2,1)",100,2,7.7715611723761e-16,4.44089209850063e-16,0.5
GPS-offset,2-2-2,"(0,1)","(1,1)","(2,1)",101,2,7.7715611723761e-16,4.44089209850063e-16,0.5
GPS-offset,2-2-2,"(0,1)","(1,1)","(2,1)",112,2,1.0547118733939e-15,5.55111512312577e-16,0.5
GPS-offset,2-2-2,"(0,1)","(1,1)","(2,1)",113,2,1.0547118733939e-15,5.55111512312577e-16,0.5
GPS-offset,2-2-2,"(0,1)","(1,1)","(2,1)",132,2,6.10622663543836e-16,0,0.5
GPS-offset,2-2-2,"(0,1)","(1,1)","(2,1)",133,2,6.10622663543836e-16,0,0.5
GPS-offset,2-2-2,"(0,1)","(1,1)","(2,1)",148,2,1.33226762955019e-15,4.44089209850063e-16,0.5
GPS-offset,2-2-2,"(0,1)","(1,1)","(2,1)",149,2,1.33226762955019e-15,4.44089209850063e-16,0.5
