scheme,pattern,num_events,pairwise_rank_loss_events,collective_only_events,min_exact_lambda,min_pairwise_safe_lambda,max_pair_correlation_at_collective,worst_pairwise_safe_event_index,worst_block_offset,worst_block_amplitudes,max_pair_correlation_at_worst
local-proposed,3-3-1-1,1280,0,0,3.45161343950906e-10,3.45161343950906e-10,NaN,1229,16,"0,-1,-1,0",0.500000000000004
local-proposed,1-1-2-1,1280,0,0,3.57402017368003e-05,3.57402017368003e-05,NaN,1239,16,"1,-1,0,0",0.500000000000003
local-proposed,2-1-2-1,1280,0,0,1.93680590394728e-05,1.93680590394728e-05,NaN,969,13,"1,1,-1,-1",0.692005510600751
local-proposed,3-1-2-1,1280,0,0,8.72092194983408e-05,8.72092194983408e-05,NaN,665,9,"-1,1,1,-1",0.765714101746592
local-proposed,1-2-2-1,1280,0,0,0.000267254446065124,0.000267254446065124,NaN,675,9,"0,1,-1,0",0.500000000000004
local-proposed,2-2-2-1,1280,0,0,6.15521354507585e-05,6.15521354507585e-05,NaN,978,13,"1,1,0,-1",0.665655461901282
local-proposed,3-2-2-1,1280,0,0,8.71808059910712e-05,8.71808059910712e-05,NaN,967,13,"-1,1,-1,-1",0.737251051736046
local-proposed,1-3-2-1,1280,0,0,9.4391752516095e-05,9.4391752516095e-05,NaN,1051,14,"0,-1,0,-1",0.999905608247484
local-proposed,2-3-2-1,1280,0,0,6.82234641902202e-06,6.82234641902202e-06,NaN,1079,14,"1,-1,0,0",0.500000000000002
local-proposed,3-3-2-1,1280,0,0,7.51677195217071e-05,7.51677195217071e-05,NaN,597,8,"-1,-1,0,0",0.500000000000002
local-proposed,1-1-3-1,1280,0,0,6.54973764327808e-06,6.54973764327808e-06,NaN,963,13,"1,-1,-1,-1",0.698228804859014
local-proposed,2-1-3-1,1280,0,0,2.28214372884954e-05,2.28214372884954e-05,NaN,747,10,"1,1,1,-1",0.685240553110804
local-proposed,3-1-3-1,1280,0,0,0.000120228110837173,0.000120228110837173,NaN,677,9,"-1,-1,0,0",0.500000000000002
local-proposed,1-2-3-1,1280,0,0,2.68838663851079e-05,2.68838663851079e-05,NaN,35,1,"0,1,-1,0",0.5
local-proposed,2-2-3-1,1280,0,0,2.68838663851079e-05,2.68838663851079e-05,NaN,35,1,"0,1,-1,0",0.5
local-proposed,3-2-3-1,1280,0,0,2.68838663851079e-05,2.68838663851079e-05,NaN,35,1,"0,1,-1,0",0.5
local-proposed,1-3-3-1,1280,0,0,9.4391752515928e-05,9.4391752515928e-05,NaN,1057,14,"0,1,0,-1",0.999905608247484
local-proposed,2-3-3-1,1280,0,0,6.82234641935509e-06,6.82234641935509e-06,NaN,1079,14,"1,-1,0,0",0.500000000000002
local-proposed,3-3-3-1,1280,0,0,7.51677195214295e-05,7.51677195214295e-05,NaN,597,8,"-1,-1,0,0",0.500000000000002
local-proposed,1-1-1-2,1280,0,0,3.45720078781531e-06,3.45720078781531e-06,NaN,183,3,"0,0,1,-1",0.500000000000002
local-proposed,2-1-1-2,1280,0,0,3.4572007877598e-06,3.4572007877598e-06,NaN,183,3,"0,0,1,-1",0.500000000000002
local-proposed,3-1-1-2,1280,0,0,3.4572007877598e-06,3.4572007877598e-06,NaN,183,3,"0,0,1,-1",0.500000000000002
local-proposed,1-2-1-2,1280,0,0,3.4572007877598e-06,3.4572007877598e-06,NaN,165,3,"0,0,-1,-1",0.500000000000004
