scheme,fractional_doppler,min_sigma,tracked_integer_event_sigma,min_gram_determinant,worst_pep_surrogate,near_rank_loss_events,worst_event_index,integer_worst_event_index
baseline,-0.5,0.75116739827392,0.75116739827392,0.810124081584052,1.95565531626582e-05,0,1629,1629
GPS-rational,-0.5,0.599392307311837,0.599392307311838,0.589466525482977,2.67790258586498e-05,0,1632,1630
local-proposed,-0.5,0.740751175216891,0.740751175216891,0.796339415064628,1.98917042147524e-05,0,1629,1629
integer-safe-GPS,-0.5,0.618842562558738,0.618842562558738,0.619269187519042,2.55067397068328e-05,0,1630,1630
baseline,-0.45,0.722466926655022,0.722466926655022,0.771476286139935,2.05261813163443e-05,0,1629,1629
GPS-rational,-0.45,0.545622484463139,0.545622484463141,0.506780181676783,3.10802616054477e-05,0,1632,1630
local-proposed,-0.45,0.710377450779837,0.710377450779837,0.754614628943916,2.09800123319944e-05,0,1629,1629
integer-safe-GPS,-0.45,0.569245882116631,0.569245882116631,0.543079260392006,2.90330930964982e-05,0,1630,1630
baseline,-0.4,0.694422496775556,0.694422496775556,0.731906568220451,2.16238842916777e-05,0,1629,1629
GPS-rational,-0.4,0.48995098078541,0.489950980785412,0.422478981930116,3.71665191734972e-05,0,1632,1630
local-proposed,-0.4,0.680570307824596,0.680570307824596,0.711819932784255,2.22272871793348e-05,0,1629,1629
integer-safe-GPS,-0.4,0.518625849621301,0.518625849621301,0.465599191769729,3.37827001287981e-05,0,1630,1630
baseline,-0.35,0.66752314802356,0.66752314802356,0.692626395244666,2.28361859182283e-05,0,1629,1629
GPS-rational,-0.35,0.432563373636997,0.432563373637,0.339211591080034,4.6079287507749e-05,0,1632,1630
local-proposed,-0.35,0.651844583031614,0.651844583031614,0.669261554762041,2.36239926858665e-05,0,1629,1629
integer-safe-GPS,-0.35,0.467467385954629,0.467467385954629,0.38929800742013,4.02704150903021e-05,0,1630,1630
baseline,-0.3,0.6423061571237,0.6423061571237,0.654910956116062,2.41353890536302e-05,0,1629,1629
GPS-rational,-0.3,0.373654201530992,0.373654201530995,0.259741888858357,5.97554756209776e-05,0,1632,1630
local-proposed,-0.3,0.624775260406736,0.624775260406736,0.628319715317177,2.51439603575055e-05,0,1629,1629
integer-safe-GPS,-0.3,0.416417625374458,0.416417625374458,0.316738455522801,4.92679922566194e-05,0,1630,1630
baseline,-0.25,0.619348491235478,0.619348491235478,0.620041860017284,2.54753598650285e-05,0,1629,1629
GPS-rational,-0.25,0.313425916240369,0.313425916240372,0.186821336563906,8.21197840320099e-05,0,1632,1630
local-proposed,-0.25,0.599991255169091,0.599991255169091,0.590386567927489,2.67378531736829e-05,0,1629,1629
integer-safe-GPS,-0.25,0.366385649165311,0.366385649165311,0.250456928004044,6.19020340874913e-05,0,1630,1630
baseline,-0.2,0.599249789519744,0.599249789519744,0.589247587664841,2.67888421970544e-05,0,1629,1629
GPS-rational,-0.2,0.252087806628851,0.252087806628854,0.123058142866775,0.000122068316832425,0,1632,1630
local-proposed,-0.2,0.578159428654713,0.578159428654713,0.556801336824928,2.83277423634739e-05,0,1629,1629
integer-safe-GPS,-0.2,0.318716112898049,0.318716112898049,0.192841432841952,7.96584909685164e-05,0,1630,1630
baseline,-0.15,0.582604684514133,0.582604684514133,0.563644921377334,2.79886194799713e-05,0,1629,1629
GPS-rational,-0.15,0.189854897800938,0.189854897800943,0.0707905309038277,0.000203028858350913,0,1632,1630
local-proposed,-0.15,0.559955215956313,0.559955215956313,0.528786183158271,2.98061380932993e-05,0,1629,1629
integer-safe-GPS,-0.15,0.275475330878403,0.275475330878403,0.146014530994475,0.000103875510242667,0,1630,1630
baseline,-0.1,0.569964007330223,0.569964007330223,0.544184589140541,2.89749781413721e-05,0,1629,1629
GPS-rational,-0.1,0.126946829369084,0.126946829369088,0.0319712857144775,0.00040012718328134,0,1632,1630
local-proposed,-0.1,0.546017949867085,0.546017949867085,0.507386366226397,3.10437069141661e-05,0,1629,1629
integer-safe-GPS,-0.1,0.239829401193795,0.239829401193795,0.111727946731976,0.000133618445329959,0,1630,1630
baseline,-0.05,0.561787774117653,0.561787774117653,0.531604172678789,2.96504853044552e-05,0,1629,1629
GPS-rational,-0.05,0.0635867168075145,0.0635867168075171,0.00807019307194234,0.000994641797996775,0,1632,1630
local-proposed,-0.05,0.536893210067237,0.536893210067237,0.493418085601052,3.19084810136537e-05,0,1629,1629
integer-safe-GPS,-0.05,0.216169561662461,0.216169561662461,0.0912749332264339,0.000161142608696323,0,1630,1630
baseline,0,0.558397179467903,0.558397179467903,0.526390959120994,2.99397298761176e-05,0,1629,1629
GPS-rational,0,0,0,1.11022302462516e-16,0.00199600798403194,1,1630,1630
local-proposed,0,0.532970884837044,0.532970884837044,0.487427001208426,3.22943304496676e-05,0,1629,1629
integer-safe-GPS,0,0.208964342107883,0.208964342107883,0.0854254645814745,0.000171230192844945,0,1630,1630
baseline,0.05,0.559936157747319,0.559936157747319,0.528756880721343,2.9807765210676e-05,0,1629,1629
GPS-rational,0.05,0.0635867168075477,0.0635867168075477,0.00807019307195078,0.000994641797996256,0,1630,1630
local-proposed,0.05,0.534433388186196,0.534433388186196,0.489659853145238,3.21494400399022e-05,0,1629,1629
integer-safe-GPS,0.05,0.217122417668224,0.219917057521066,0.0920619067433159,0.000159875446246468,0,1632,1630
baseline,0.1,0.566352876183964,0.566352876183964,0.53862701839043,2.92695588559997e-05,0,1629,1629
GPS-rational,0.1,0.126946829369119,0.126946829369119,0.0319712857144949,0.000400127183281165,0,1630,1630
local-proposed,0.1,0.541229335506446,0.541229335506446,0.500050874754883,3.14919172947837e-05,0,1629,1629
integer-safe-GPS,0.1,0.241465072009081,0.246464917444234,0.113211244547106,0.000131983532742781,0,1632,1630
baseline,0.15,0.57740666484443,0.57740666484443,0.55564238234576,2.83859878627428e-05,0,1629,1629
GPS-rational,0.15,0.189854897800972,0.189854897800972,0.0707905309038526,0.000203028858350848,0,1630,1630
local-proposed,0.15,0.553081402983686,0.553081402983686,0.518223855003787,3.04043866078612e-05,0,1629,1629
integer-safe-GPS,0.15,0.277490232887846,0.283943402668345,0.148072530975999,0.000102505929807618,0,1632,1630
baseline,0.2,0.592698224044677,0.592698224044677,0.579176873063277,2.72482871199219e-05,0,1629,1629
GPS-rational,0.2,0.252087806628884,0.252087806628884,0.123058142866806,0.000122068316832396,0,1630,1630
local-proposed,0.2,0.569525612161928,0.569525612161928,0.543509810587356,2.90104283296561e-05,0,1629,1629
integer-safe-GPS,0.2,0.32088408029133,0.32818742130043,0.195331066698007,7.86832102366235e-05,0,1632,1630
baseline,0.25,0.611714421000987,0.611714421000987,0.608367517298403,2.59578647886752e-05,0,1629,1629
GPS-rational,0.25,0.3134259162404,0.3134259162404,0.186821336563942,8.21197840319947e-05,0,1630,1630
local-proposed,0.25,0.589969411303865,0.589969411303865,0.574979329697583,2.74444737118215e-05,0,1629,1629
integer-safe-GPS,0.25,0.368562248328328,0.376297182161647,0.253224263981206,6.12463016082049e-05,0,1632,1630
baseline,0.3,0.633876667487928,0.633876667487928,0.642156316836077,2.46088607368898e-05,0,1629,1629
GPS-rational,0.3,0.373654201531023,0.373654201531023,0.259741888858397,5.97554756209688e-05,0,1630,1630
local-proposed,0.3,0.613752828738334,0.613752828738334,0.611487803806387,2.58271214828577e-05,0,1629,1629
integer-safe-GPS,0.3,0.418514313118905,0.426394311806834,0.319629456183911,4.88332729724139e-05,0,1632,1630
baseline,0.35,0.658583888656388,0.658583888656388,0.679341388437511,2.32775558525252e-05,0,1629,1629
GPS-rational,0.35,0.432563373637027,0.432563373637027,0.339211591080076,4.60792875077435e-05,0,1630,1630
local-proposed,0.35,0.640200607070959,0.640200607070959,0.651731023905661,2.42517198566217e-05,0,1629,1629
integer-safe-GPS,0.35,0.469430051924716,0.477251216408434,0.392168601980118,3.9981548317531e-05,0,1632,1630
baseline,0.4,0.685245270414414,0.685245270414414,0.718634552812625,2.20188368921888e-05,0,1629,1629
