scheme,fractional_doppler,min_sigma,tracked_integer_event_sigma,min_gram_determinant,worst_pep_surrogate,near_rank_loss_events,worst_event_index,integer_worst_event_index
GPS-rational,0.4,0.489950980785438,0.489950980785438,0.422478981930158,3.71665191734936e-05,0,1630,1630
local-proposed,0.4,0.668659721783014,0.668659721783014,0.694308029631021,2.27815072886028e-05,0,1629,1629
integer-safe-GPS,0.4,0.520421720698221,0.528031172274616,0.468323896836058,3.35894601864658e-05,0,1632,1630
baseline,0.45,0.713301909143625,0.713301909143625,0.758722180388643,2.08676187116311e-05,0,1629,1629
GPS-rational,0.45,0.545622484463166,0.545622484463166,0.506780181676824,3.10802616054453e-05,0,1630,1630
local-proposed,0.45,0.698522229696815,0.698522229696815,0.737787700261572,2.14533663407521e-05,0,1629,1629
integer-safe-GPS,0.45,0.570856088369893,0.578133695593828,0.545557740842465,2.89031050780157e-05,0,1632,1630
baseline,0.5,0.74223894582042,0.74223894582042,0.798325943500577,1.98426984097331e-05,0,1629,1629
GPS-rational,0.5,0.599392307311862,0.599392307311862,0.589466525483015,2.6779025858648e-05,0,1630,1630
local-proposed,0.5,0.729236396920244,0.729236396920244,0.780775390432446,2.0284197056497e-05,0,1629,1629
integer-safe-GPS,0.5,0.620257901424315,0.627105991290047,0.621430354587511,2.54191638149769e-05,0,1632,1630
