scheme,pattern,num_events,num_support_pairs,pairwise_rank_loss_events,max_pair_correlation,pairwise_safe,collective_only_events,min_collective_determinant,min_collective_lambda
baseline,1-1-1,19682,36,0,0.95974345757143,1,0,0.000498311952784825,0.000221537412616617
GPS-rational,1-1-1,19682,36,0,0.910683602522959,1,48,-5.55111512312578e-16,0
GPS-rational,2-1-1,19682,36,0,0.910683602522959,1,48,-4.44089209850063e-16,0
GPS-rational,1-2-1,19682,36,0,0.910683602522959,1,48,-5.55111512312578e-16,0
GPS-rational,2-2-1,19682,36,0,0.910683602522959,1,48,-3.88578058618805e-16,0
GPS-rational,1-1-2,19682,36,0,0.910683602522959,1,48,-3.33066907387547e-16,0
GPS-rational,2-1-2,19682,36,0,0.910683602522959,1,48,-3.33066907387547e-16,0
GPS-rational,1-2-2,19682,36,0,0.910683602522959,1,48,-1.66533453693773e-16,0
GPS-rational,2-2-2,19682,36,0,0.910683602522959,1,48,-3.33066907387547e-16,0
GPS-offset,1-1-1,19682,36,0,0.875,1,48,6.10622663543836e-16,0
GPS-offset,2-1-1,19682,36,0,0.934441688980413,1,18,7.21644966006352e-16,2.22044604925028e-16
GPS-offset,1-2-1,19682,36,0,0.934441688980413,1,12,7.7715611723761e-16,2.2204460492503e-16
GPS-offset,2-2-1,19682,36,0,0.868728459026294,1,12,9.43689570931383e-16,8.88178419700125e-16
GPS-offset,1-1-2,19682,36,0,0.934441688980413,1,12,1.0547118733939e-15,4.44089209850062e-16
GPS-offset,2-1-2,19682,36,0,0.859559499182947,1,12,3.33066907387547e-16,4.44089209850063e-16
GPS-offset,1-2-2,19682,36,0,0.983403848050454,1,18,6.10622663543836e-16,0
GPS-offset,2-2-2,19682,36,0,0.983403848050454,1,48,-5.55111512312578e-17,0
local-proposed,1-1-1,19682,36,0,0.95974345757143,1,0,0.000498311952784825,0.000221537412616617
local-proposed,2-1-1,19682,36,0,0.962612956277133,1,0,1.48479836383775e-05,6.59916190440093e-06
local-proposed,3-1-1,19682,36,0,0.956481156233194,1,0,0.0023491970281817,0.00104554461148185
local-proposed,1-2-1,19682,36,0,0.967973620238007,1,0,0.0029793651693284,0.0287085109003044
local-proposed,2-2-1,19682,36,0,0.972105804327311,1,0,0.00227022731965132,0.0252361630752572
local-proposed,3-2-1,19682,36,0,0.96345162757726,1,0,0.00386247268713036,0.0325085728298828
local-proposed,1-3-1,19682,36,0,0.936139407357336,1,0,0.000355990879906454,0.000158251558493432
local-proposed,2-3-1,19682,36,0,0.937745750991011,1,0,0.000355990879906454,0.000158251558493432
local-proposed,3-3-1,19682,36,0,0.934141508531086,1,0,0.000355990879906676,0.000158251558493432
local-proposed,1-1-2,19682,36,0,0.9532043530526,1,0,0.000498311952784825,0.000221537412616617
local-proposed,2-1-2,19682,36,0,0.951823685045636,1,0,1.48479836383775e-05,6.59916190440093e-06
local-proposed,3-1-2,19682,36,0,0.954561226043198,1,0,0.00234919702818176,0.00104554461148163
local-proposed,1-2-2,19682,36,0,0.97001148719296,1,0,0.00263148931811541,0.027916249302605
local-proposed,2-2-2,19682,36,0,0.968818369680168,1,0,0.00284264782472254,0.0290193625673075
local-proposed,3-2-2,19682,36,0,0.971180317991099,1,0,0.00243237117281192,0.0268355932981143
local-proposed,1-3-2,19682,36,0,0.930270268968552,1,0,0.0118598397338083,0.00530854763074685
local-proposed,2-3-2,19682,36,0,0.928711210710691,1,0,0.011859839733808,0.00530854763074708
local-proposed,3-3-2,19682,36,0,0.931806168388485,1,0,0.0118598397338082,0.0053085476307473
local-proposed,1-1-3,19682,36,0,0.999180794897337,1,0,2.01174224634393e-06,0.0008069632514369
local-proposed,2-1-3,19682,36,0,0.998858313450525,1,0,3.90732990718234e-06,0.0011381083825626
local-proposed,3-1-3,19682,36,0,0.999097313887892,1,0,2.44285663897337e-06,0.000894539593323729
local-proposed,1-2-3,19682,36,0,0.987293938744521,1,0,0.000479804862821176,0.0123275164589779
local-proposed,2-2-3,19682,36,0,0.988234764435311,1,0,0.000411104982990684,0.0112142477029897
local-proposed,3-2-3,19682,36,0,0.985950224177574,1,0,0.000133621270742568,5.93919345506049e-05
local-proposed,1-3-3,19682,36,0,0.995248072710173,1,0,6.74746695326078e-05,0.00461849058653563
local-proposed,2-3-3,19682,36,0,0.993660618561402,1,0,0.000119839994807469,0.0060716193804026
local-proposed,3-3-3,19682,36,0,0.996431324938872,1,0,3.81121109378491e-05,0.00353536503492974
