fractional_doppler,current_vs_reference,current_vs_explicit,reference_vs_explicit
0,3.78968800095945e-16,3.6716301818975e-16,2.02650440303735e-16
0.1,0.299204418227311,3.77582878563938e-16,0.299204418227311
0.25,0.684653196881458,3.6399726036505e-16,0.684653196881458
0.4,0.920856512228293,3.90448623482086e-16,0.920856512228293
0.5,0.968245836551854,3.61306814772758e-16,0.968245836551854
