scheme,pattern,num_events,num_support_pairs,pairwise_rank_loss_events,max_pair_correlation,pairwise_safe,collective_only_events,min_collective_determinant,min_collective_lambda
local-proposed,1-1-1-2,6560,28,0,0.986777074795297,1,0,0.0262710046584378,0.0132229252047035
local-proposed,2-1-1-2,6560,28,0,0.986777074795297,1,0,0.0262710046584378,0.0132229252047035
local-proposed,3-1-1-2,6560,28,0,0.986777074795297,1,0,0.0262710046584378,0.0132229252047035
local-proposed,1-2-1-2,6560,28,0,0.981896511259163,1,0,0.0358792411770837,0.0181034887408367
local-proposed,2-2-1-2,6560,28,0,0.981896511259163,1,0,0.0358792411770837,0.0181034887408367
local-proposed,3-2-1-2,6560,28,0,0.981896511259163,1,0,0.0358792411770837,0.0181034887408367
local-proposed,1-3-1-2,6560,28,0,0.990896820082348,1,0,0.01812349195069,0.00910317991765153
local-proposed,2-3-1-2,6560,28,0,0.990896820082348,1,0,0.01812349195069,0.00910317991765153
local-proposed,3-3-1-2,6560,28,0,0.990896820082348,1,0,0.01812349195069,0.00910317991765153
local-proposed,1-1-2-2,6560,28,0,0.986777074795297,1,0,0.0262710046584378,0.0132229252047035
local-proposed,2-1-2-2,6560,28,0,0.986777074795297,1,0,0.0262710046584378,0.0132229252047035
local-proposed,3-1-2-2,6560,28,0,0.986777074795297,1,0,0.0262710046584378,0.0132229252047035
local-proposed,1-2-2-2,6560,28,0,0.981896511259163,1,0,0.0358792411770837,0.0181034887408367
local-proposed,2-2-2-2,6560,28,0,0.981896511259163,1,0,0.0358792411770837,0.0181034887408367
local-proposed,3-2-2-2,6560,28,0,0.981896511259163,1,0,0.0358792411770837,0.0181034887408367
local-proposed,1-3-2-2,6560,28,0,0.990896820082348,1,0,0.01812349195069,0.00910317991765153
local-proposed,2-3-2-2,6560,28,0,0.990896820082348,1,0,0.01812349195069,0.00910317991765153
local-proposed,3-3-2-2,6560,28,0,0.990896820082348,1,0,0.01812349195069,0.00910317991765153
local-proposed,1-1-3-2,6560,28,0,0.986777074795297,1,0,0.0262710046584378,0.0132229252047035
local-proposed,2-1-3-2,6560,28,0,0.986777074795297,1,0,0.0262710046584378,0.0132229252047035
local-proposed,3-1-3-2,6560,28,0,0.986777074795297,1,0,0.0262710046584378,0.0132229252047035
local-proposed,1-2-3-2,6560,28,0,0.981896511259163,1,0,0.0358792411770837,0.0181034887408367
local-proposed,2-2-3-2,6560,28,0,0.981896511259163,1,0,0.0358792411770837,0.0181034887408367
local-proposed,3-2-3-2,6560,28,0,0.981896511259163,1,0,0.0358792411770837,0.0181034887408367
local-proposed,1-3-3-2,6560,28,0,0.990896820082348,1,0,0.01812349195069,0.00910317991765153
local-proposed,2-3-3-2,6560,28,0,0.990896820082348,1,0,0.01812349195069,0.00910317991765153
local-proposed,3-3-3-2,6560,28,0,0.990896820082348,1,0,0.01812349195069,0.00910317991765153
local-proposed,1-1-1-3,6560,28,0,0.888897757506785,1,0,0.128736347067955,0.0666958492776151
local-proposed,2-1-1-3,6560,28,0,0.892056484874682,1,0,0.130459307330267,0.067620777280886
local-proposed,3-1-1-3,6560,28,0,0.885696193058871,1,0,0.127095519278215,0.0658158618324218
local-proposed,1-2-1-3,6560,28,0,0.888897757506785,1,0,0.122990085412161,0.153251033718906
local-proposed,2-2-1-3,6560,28,0,0.892056484874682,1,0,0.122318652186414,0.1525696960598
local-proposed,3-2-1-3,6560,28,0,0.885696193058871,1,0,0.122533144229089,0.0636430638563232
local-proposed,1-3-1-3,6560,28,0,0.888897757506785,1,0,0.136486281427407,0.0707471871660927
local-proposed,2-3-1-3,6560,28,0,0.892056484874682,1,0,0.138581368228087,0.0718751914319506
local-proposed,3-3-1-3,6560,28,0,0.885696193058871,1,0,0.134471973607566,0.0696639642281966
local-proposed,1-1-2-3,6560,28,0,0.796438902490179,1,0,0.128736347067955,0.0666958492776151
local-proposed,2-1-2-3,6560,28,0,0.800617640192345,1,0,0.130459307330267,0.0676207772808862
local-proposed,3-1-2-3,6560,28,0,0.792221783414332,1,0,0.127095519278215,0.0658158618324217
local-proposed,1-2-2-3,6560,28,0,0.796438902490179,1,0,0.123789978557116,0.06431814162856
local-proposed,2-2-2-3,6560,28,0,0.800617640192345,1,0,0.125129537987775,0.0650381863340391
local-proposed,3-2-2-3,6560,28,0,0.792221783414332,1,0,0.122533144229088,0.0636430638563233
local-proposed,1-3-2-3,6560,28,0,0.805156012173366,1,0,0.136486281427407,0.0707471871660923
local-proposed,2-3-2-3,6560,28,0,0.805156012173366,1,0,0.138581368228087,0.0718751914319506
local-proposed,3-3-2-3,6560,28,0,0.805156012173366,1,0,0.134471973607566,0.0696639642281964
local-proposed,1-1-3-3,6560,28,0,0.954650462702154,1,0,0.0886424940625627,0.0453495372978457
local-proposed,2-1-3-3,6560,28,0,0.956694278555507,1,0,0.0847360573791579,0.043305721444493
local-proposed,3-1-3-3,6560,28,0,0.952560641064769,1,0,0.0926282250942765,0.0474393589352312
local-proposed,1-2-3-3,6560,28,0,0.954650462702154,1,0,0.088642494062563,0.0453495372978459
local-proposed,2-2-3-3,6560,28,0,0.956694278555507,1,0,0.0847360573791579,0.043305721444493
local-proposed,3-2-3-3,6560,28,0,0.952560641064769,1,0,0.0926282250942767,0.0474393589352314
local-proposed,1-3-3-3,6560,28,0,0.954650462702154,1,0,0.0886424940625627,0.0453495372978457
local-proposed,2-3-3-3,6560,28,0,0.956694278555507,1,0,0.0847360573791579,0.043305721444493
local-proposed,3-3-3-3,6560,28,0,0.952560641064769,1,0,0.0926282250942765,0.0474393589352312
